taxonomy	CPSNJ01_350	CPSNJ02_350	CPSNJ03_350	CPSNJ04_350	CPSNJ08_350	CPSNJ09_350	CPSNJ10_350	CPSNJ11_350	CPSNJ13_350	CPSNJ14_350	CPSNJ15_350	CPSNJ16_350	CPSNJ19_350	CPSNJ20_350	10_350	11_350	12_350	13_350	14_350	15_350	16_350	17_350	18_350	19_350	1_350	20_350	21_350	22_350	23_350	24_350	25_350	26_350	27_350	28_350	29_350	2_350	30_350	3_350	4_350	5_350	6_350	7_350	8_350	9_350	SNJ01_350	SNJ02_350	SNJ03_350	SNJ04_350	SNJ08_350	SNJ09_350	SNJ10_350	SNJ11_350	SNJ13_350	SNJ14_350	SNJ15_350	SNJ16_350	SNJ19_350	SNJ20_350
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JACCXG01	0.21	0.18	0.43	0.28	0.28	0.27	0.2	0.31	0.17	0.22	0.2	0.31	0.43	0.28	0.23	0.15	0.13	0.12	0.13	0.25	0.27	0.14	0.14	0.2	0.23	0.34	0.24	0.26	0.22	0.35	0.3	0.26	0.25	0.2	0.21	0.33	0.23	0.24	0.24	0.34	0.42	0.38	0.23	0.26	0.18	0.14	0.44	0.26	0.38	0.18	0.29	0.35	0.18	0.26	0.24	0.19	0.39	0.35
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JACDCA01	0.73	0.48	0.86	0.67	0.6	0.5	0.46	1.04	0.33	0.45	0.55	0.57	0.86	0.64	0.3	0.35	0.35	0.39	0.37	0.52	0.48	0.18	0.27	0.41	0.38	0.89	0.56	0.49	0.67	0.8	0.47	0.52	0.5	0.42	1.04	0.62	0.52	0.47	0.41	0.65	0.72	0.71	0.38	0.6	0.75	0.49	1.18	0.62	0.88	0.47	0.76	1.36	0.57	0.52	0.45	0.59	0.77	1.31
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JACPDI01	0.07	0.03	0.09	0.1	0.07	0.1	0.06	0.08	0.07	0.06	0.09	0.09	0.12	0.07	0.09	0.06	0.04	0.09	0.07	0.06	0.09	0.08	0.07	0.08	0.07	0.09	0.09	0.08	0.1	0.11	0.09	0.08	0.08	0.05	0.22	0.07	0.09	0.09	0.09	0.09	0.07	0.1	0.08	0.08	0.05	0.04	0.11	0.08	0.08	0.06	0.08	0.08	0.06	0.06	0.08	0.06	0.13	0.07
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JAHECP01	0.05	0.04	0.07	0.05	0.08	0.07	0.09	0.07	0.05	0.06	0.08	0.05	0.1	0.05	0.09	0.06	0.06	0.08	0.04	0.07	0.12	0.05	0.06	0.06	0.07	0.08	0.07	0.06	0.07	0.11	0.08	0.08	0.07	0.06	0.06	0.07	0.09	0.07	0.07	0.05	0.07	0.09	0.07	0.07	0.03	0.05	0.09	0.09	0.07	0.09	0.07	0.05	0.04	0.05	0.07	0.06	0.09	0.07
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__JAIVJE01	0.16	0.13	0.24	0.18	0.18	0.21	0.19	0.19	0.13	0.17	0.15	0.22	0.28	0.16	0.11	0.11	0.15	0.13	0.13	0.17	0.21	0.11	0.09	0.13	0.17	0.24	0.15	0.21	0.23	0.25	0.17	0.17	0.14	0.11	0.24	0.24	0.2	0.19	0.19	0.27	0.27	0.24	0.16	0.21	0.11	0.09	0.29	0.14	0.15	0.14	0.18	0.26	0.11	0.14	0.15	0.11	0.28	0.21
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__2-12-FULL-66-21; g__QHWT01	0.75	0.39	0.72	0.55	0.56	0.54	0.41	0.74	0.56	0.37	0.42	0.46	0.78	0.72	0.3	0.37	0.35	0.4	0.41	0.55	0.58	0.26	0.34	0.35	0.45	0.56	0.52	0.62	0.51	0.76	0.5	0.53	0.43	0.41	0.46	0.69	0.48	0.53	0.53	1.04	0.73	0.69	0.53	0.65	0.55	0.31	0.89	0.55	0.69	0.51	0.52	0.76	0.41	0.46	0.44	0.43	0.76	0.72
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Fen-181; g__FEN-299	0.07	0.08	0.09	0.08	0.08	0.12	0.09	0.1	0.08	0.08	0.07	0.06	0.1	0.06	0.09	0.1	0.1	0.09	0.06	0.12	0.09	0.07	0.05	0.07	0.09	0.16	0.07	0.12	0.08	0.11	0.11	0.09	0.27	0.08	0.25	0.1	0.09	0.08	0.07	0.1	0.11	0.12	0.1	0.06	0.04	0.03	0.11	0.08	0.07	0.05	0.08	0.09	0.07	0.07	0.07	0.07	0.11	0.07
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Fen-181; g__Fen-181	0.01	0.01	0.02	0.01	0.01	0.03	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.01	0.02	0.03	0.02	0.02	0.02	0.03	0.01	0.02	0.02	0.03	0.01	0.01	0.03	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.03	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JACPPN01; g__JACPPN01	0.04	0.03	0.06	0.05	0.05	0.03	0.03	0.03	0.03	0.03	0.05	0.03	0.05	0.04	0.05	0.03	0.03	0.03	0.04	0.03	0.07	0.04	0.04	0.04	0.05	0.04	0.04	0.03	0.04	0.05	0.05	0.04	0.03	0.03	0.03	0.04	0.04	0.06	0.07	0.04	0.05	0.06	0.05	0.05	0.02	0.02	0.06	0.05	0.05	0.02	0.03	0.03	0.02	0.02	0.05	0.02	0.06	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JACQTH01; g__JACQTH01	0.02	0.03	0.08	0.04	0.05	0.04	0.03	0.04	0.02	0.03	0.03	0.03	0.08	0.03	0.08	0.07	0.06	0.06	0.05	0.06	0.1	0.06	0.1	0.06	0.07	0.11	0.06	0.05	0.05	0.06	0.08	0.07	0.07	0.03	0.04	0.06	0.07	0.09	0.09	0.06	0.07	0.09	0.08	0.06	0.01	0.03	0.06	0.05	0.05	0.02	0.03	0.03	0.03	0.05	0.05	0.02	0.06	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JAFNAJ01; g__JAEUQQ01	0.01	0.02	0.02	0.01	0.02	0.02	0.02	0.02	0.01	0.01	0.01	0.02	0.02	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.02	0.02	0.02	0.01	0.02	0.02	0.02	0.03	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.02	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JAFNAJ01; g__JAFNAJ01	0.0	0.01	0.02	0.02	0.02	0.01	0.01	0.02		0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JAFNAJ01; g__JAHDVP01	0.05	0.06	0.07	0.05	0.05	0.05	0.04	0.07	0.05	0.04	0.04	0.04	0.06	0.03	0.05	0.05	0.05	0.03	0.03	0.05	0.07	0.05	0.03	0.04	0.05	0.07	0.06	0.04	0.06	0.06	0.05	0.05	0.07	0.04	0.05	0.05	0.06	0.07	0.07	0.05	0.06	0.08	0.05	0.04	0.02	0.03	0.05	0.05	0.05	0.03	0.03	0.05	0.03	0.04	0.03	0.03	0.05	0.04
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__JAFNAJ01; g__JAHDVQ01	0.02	0.03	0.04	0.04	0.03	0.05	0.04	0.04	0.03	0.03	0.03	0.05	0.03	0.03	0.04	0.06	0.05	0.04	0.03	0.04	0.03	0.03	0.04	0.02	0.03	0.06	0.03	0.03	0.03	0.04	0.03	0.05	0.06	0.03	0.06	0.03	0.03	0.03	0.04	0.03	0.03	0.05	0.04	0.03	0.01	0.03	0.04	0.02	0.03	0.03	0.04	0.05	0.04	0.04	0.02	0.02	0.04	0.04
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__SCN-69-37; g__JADYYY01	0.04	0.14	0.29	0.17	0.25	0.34	0.34	0.45	0.28	0.32	0.26	0.25	0.15	0.16	0.39	0.27	0.24	0.44	0.25	0.39	0.3	0.33	0.31	0.06	0.28	0.37	0.23	0.16	0.2	0.16	0.34	0.27	0.22	0.22	0.1	0.22	0.2	0.34	0.3	0.27	0.19	0.32	0.28	0.28	0.02	0.1	0.2	0.17	0.32	0.29	0.27	0.38	0.26	0.36	0.28	0.14	0.24	0.17
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__SCN-69-37; g__SCN-69-37	0.1	0.21	0.41	0.27	0.45	0.63	0.61	0.75	0.43	0.58	0.42	0.4	0.24	0.19	0.37	0.39	0.32	0.39	0.35	0.45	0.32	0.29	0.41	0.07	0.4	0.64	0.33	0.2	0.27	0.27	0.34	0.32	0.34	0.28	0.11	0.37	0.27	0.32	0.35	0.38	0.26	0.39	0.24	0.36	0.06	0.17	0.34	0.24	0.41	0.49	0.49	0.66	0.42	0.54	0.39	0.3	0.45	0.22
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__SCN-69-37; g__SCUN01	0.04	0.16	0.25	0.15	0.26	0.38	0.33	0.39	0.35	0.35	0.2	0.22	0.16	0.23	0.19	0.24	0.14	0.21	0.26	0.23	0.18	0.21	0.21	0.05	0.18	0.26	0.16	0.1	0.13	0.14	0.17	0.23	0.2	0.19	0.08	0.2	0.18	0.22	0.21	0.17	0.14	0.15	0.17	0.13	0.04	0.1	0.18	0.17	0.26	0.35	0.26	0.33	0.27	0.34	0.24	0.17	0.25	0.15
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__SCN-69-37; g__SYFT01	0.13	0.27	0.45	0.36	0.44	0.63	0.52	0.64	0.46	0.51	0.48	0.42	0.3	0.24	0.39	0.32	0.3	0.38	0.32	0.37	0.3	0.34	0.37	0.08	0.29	0.66	0.4	0.22	0.27	0.24	0.34	0.35	0.35	0.29	0.11	0.29	0.27	0.29	0.36	0.29	0.24	0.37	0.33	0.29	0.08	0.2	0.39	0.3	0.48	0.53	0.45	0.69	0.53	0.66	0.46	0.39	0.43	0.33
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__12-FULL-67-14b	1.78	1.08	2.26	1.84	1.97	1.54	1.3	1.92	1.17	1.64	1.38	1.88	2.2	1.44	1.21	1.02	0.72	1.43	1.45	1.09	1.46	0.96	1.49	0.84	1.09	1.86	1.85	1.65	1.36	1.4	1.15	1.14	1.28	1.04	0.58	1.68	1.29	1.54	1.55	2.31	1.7	1.72	1.14	1.78	1.87	1.1	2.81	1.56	2.27	1.51	1.9	2.43	2.23	1.64	1.69	1.66	2.14	2.07
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__2-02-FULL-65-29	0.07	0.12	0.27	0.17	0.23	0.3	0.22	0.25	0.35	0.34	0.24	0.26	0.2	0.12	0.29	0.22	0.22	0.31	0.22	0.21	0.19	0.23	0.32	0.12	0.12	0.22	0.22	0.15	0.14	0.13	0.26	0.29	0.21	0.19	0.06	0.17	0.22	0.27	0.26	0.14	0.15	0.18	0.24	0.15	0.07	0.1	0.21	0.17	0.18	0.21	0.22	0.23	0.15	0.25	0.27	0.13	0.24	0.13
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__2-12-FULL-65-11	0.03	0.03	0.08	0.06	0.06	0.1	0.07	0.07	0.08	0.08	0.06	0.06	0.05	0.06	0.09	0.06	0.07	0.07	0.06	0.05	0.1	0.07	0.09	0.03	0.05	0.07	0.09	0.06	0.05	0.04	0.08	0.06	0.07	0.06	0.01	0.07	0.08	0.09	0.05	0.06	0.04	0.06	0.08	0.06	0.01	0.03	0.07	0.06	0.06	0.07	0.07	0.05	0.05	0.07	0.08	0.03	0.05	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__CADEFD01	0.18	0.2	0.25	0.27	0.25	0.2	0.24	0.29	0.17	0.28	0.25	0.25	0.25	0.13	0.14	0.22	0.17	0.13	0.21	0.15	0.13	0.16	0.09	0.13	0.14	0.3	0.28	0.12	0.2	0.16	0.16	0.24	0.33	0.15	0.09	0.18	0.2	0.19	0.13	0.16	0.18	0.18	0.16	0.14	0.15	0.15	0.25	0.2	0.32	0.14	0.3	0.29	0.27	0.36	0.25	0.25	0.21	0.28
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__Gp6-AA40	2.72	2.83	4.73	3.57	3.78	4.31	3.83	5.04	4.23	4.82	3.3	3.4	4.37	2.51	4.17	4.51	4.46	2.98	3.14	3.87	3.66	3.49	5.47	2.08	3.3	4.8	3.21	3.43	2.78	3.42	3.54	3.21	3.14	3.75	2.35	3.33	3.58	3.8	3.71	3.5	4.24	3.98	3.56	3.36	1.68	2.42	4.39	3.24	3.71	3.55	3.81	4.44	3.15	4.05	3.59	2.98	4.65	2.96
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__Gp6-AA45	0.55	0.89	1.32	0.96	1.15	2.13	1.58	1.57	1.87	1.19	1.04	1.01	1.13	0.89	1.17	0.88	0.91	0.98	0.84	1.02	0.97	1.07	1.25	0.65	0.66	1.08	0.86	0.91	0.69	0.83	1.04	0.94	0.85	0.93	0.46	0.82	0.98	1.0	1.08	1.08	0.89	1.04	0.91	0.86	0.4	0.68	1.12	0.93	1.08	1.91	1.06	1.24	0.72	1.04	1.06	0.68	1.05	0.79
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JABFRY01	0.06	0.05	0.08	0.06	0.09	0.1	0.07	0.1	0.07	0.1	0.1	0.1	0.09	0.05	0.08	0.09	0.08	0.04	0.06	0.05	0.06	0.05	0.06	0.05	0.05	0.11	0.07	0.07	0.07	0.06	0.06	0.07	0.07	0.07	0.03	0.05	0.08	0.08	0.08	0.05	0.07	0.09	0.09	0.06	0.05	0.05	0.08	0.07	0.08	0.08	0.1	0.1	0.09	0.07	0.1	0.06	0.11	0.09
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JACCSI01	0.16	0.19	0.36	0.19	0.28	0.2	0.14	0.23	0.08	0.17	0.18	0.18	0.31	0.15	0.2	0.12	0.13	0.12	0.07	0.13	0.26	0.14	0.08	0.13	0.13	0.24	0.26	0.21	0.21	0.18	0.28	0.26	0.17	0.12	0.27	0.31	0.19	0.27	0.24	0.24	0.3	0.29	0.22	0.24	0.14	0.09	0.36	0.19	0.33	0.11	0.2	0.27	0.15	0.15	0.23	0.13	0.32	0.26
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JADGOC01	0.03	0.06	0.09	0.07	0.09	0.1	0.12	0.1	0.16	0.07	0.09	0.08	0.09	0.08	0.09	0.08	0.08	0.09	0.05	0.07	0.08	0.09	0.11	0.06	0.06	0.11	0.07	0.07	0.04	0.06	0.07	0.06	0.06	0.07	0.04	0.05	0.08	0.06	0.08	0.07	0.06	0.05	0.07	0.06	0.03	0.07	0.08	0.09	0.07	0.11	0.09	0.09	0.05	0.08	0.08	0.05	0.09	0.08
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JADZED01	0.04	0.06	0.08	0.07	0.08	0.08	0.08	0.1	0.09	0.06	0.07	0.05	0.07	0.08	0.06	0.05	0.04	0.06	0.05	0.07	0.08	0.05	0.07	0.04	0.07	0.09	0.07	0.05	0.05	0.06	0.06	0.09	0.06	0.06	0.04	0.06	0.05	0.05	0.05	0.04	0.07	0.06	0.04	0.05	0.02	0.04	0.07	0.06	0.07	0.1	0.07	0.08	0.04	0.07	0.06	0.04	0.06	0.06
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAENWD01	0.15	0.07	0.09	0.13	0.12	0.17	0.15	0.15	0.12	0.15	0.14	0.14	0.12	0.06	0.05	0.11	0.08	0.04	0.1	0.08	0.08	0.05	0.06	0.07	0.11	0.14	0.15	0.06	0.13	0.12	0.11	0.09	0.12	0.11	0.09	0.08	0.09	0.08	0.08	0.05	0.13	0.11	0.12	0.08	0.06	0.04	0.13	0.1	0.12	0.12	0.12	0.23	0.16	0.14	0.11	0.17	0.11	0.06
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAHFUI01	0.02	0.05	0.06	0.04	0.04	0.11	0.11	0.08	0.13	0.05	0.05	0.04	0.05	0.05	0.04	0.05	0.05	0.04	0.05	0.03	0.04	0.04	0.05	0.02	0.02	0.04	0.05	0.02	0.03	0.03	0.05	0.05	0.03	0.07	0.02	0.04	0.05	0.05	0.05	0.03	0.03	0.03	0.04	0.03	0.01	0.05	0.04	0.05	0.03	0.1	0.06	0.05	0.04	0.04	0.06	0.03	0.05	0.05
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAHFUJ01	0.07	0.12	0.19	0.13	0.18	0.22	0.22	0.23	0.23	0.18	0.15	0.17	0.13	0.11	0.19	0.12	0.13	0.16	0.14	0.17	0.16	0.17	0.2	0.08	0.12	0.15	0.14	0.15	0.11	0.1	0.15	0.17	0.14	0.12	0.06	0.13	0.14	0.18	0.16	0.16	0.11	0.13	0.1	0.12	0.04	0.09	0.19	0.14	0.14	0.18	0.14	0.19	0.13	0.17	0.17	0.11	0.19	0.1
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAIVJN01	0.09	0.1	0.13	0.14	0.15	0.1	0.07	0.14	0.07	0.12	0.13	0.08	0.17	0.08	0.11	0.07	0.08	0.1	0.07	0.09	0.14	0.11	0.06	0.08	0.1	0.18	0.13	0.12	0.11	0.13	0.15	0.15	0.1	0.07	0.08	0.18	0.11	0.13	0.15	0.16	0.14	0.16	0.14	0.13	0.07	0.09	0.15	0.12	0.17	0.09	0.1	0.15	0.1	0.09	0.11	0.06	0.19	0.12
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAKFYA01	0.02	0.03	0.04	0.02	0.03	0.05	0.05	0.04	0.03	0.04	0.04	0.02	0.04	0.02	0.03	0.03	0.03	0.02	0.03	0.02	0.03	0.03	0.02	0.01	0.01	0.05	0.03	0.01	0.02	0.03	0.03	0.03	0.04	0.05	0.01	0.02	0.04	0.02	0.03	0.02	0.02	0.03	0.02	0.01	0.01	0.01	0.03	0.04	0.03	0.03	0.04	0.04	0.04	0.04	0.05	0.04	0.04	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__JAMQPK01	0.53	0.44	0.7	0.48	0.66	0.74	0.63	0.84	0.42	0.65	0.51	0.48	0.79	0.46	0.38	0.41	0.41	0.39	0.58	0.59	0.65	0.37	0.45	0.37	0.58	0.78	0.72	0.67	0.52	0.53	0.61	0.57	0.48	0.54	0.28	0.75	0.52	0.6	0.57	0.94	0.72	0.88	0.56	0.69	0.45	0.37	0.66	0.53	0.74	0.61	0.59	0.73	0.45	0.63	0.47	0.56	0.9	0.69
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__UBA2999		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01		0.01	0.01			0.01	0.01		0.01		0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01				0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01			0.01			0.01	0.01	0.0		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__VFZH01	0.04	0.05	0.06	0.06	0.05	0.05	0.06	0.06	0.03	0.06	0.06	0.05	0.08	0.04	0.06	0.04	0.05	0.05	0.03	0.05	0.05	0.06	0.05	0.05	0.05	0.08	0.05	0.04	0.03	0.06	0.08	0.04	0.06	0.04	0.03	0.06	0.05	0.05	0.06	0.04	0.06	0.07	0.06	0.04	0.02	0.02	0.06	0.05	0.07	0.03	0.05	0.05	0.06	0.06	0.06	0.05	0.06	0.03
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__VFZN01	0.44	0.53	1.07	0.7	0.84	0.64	0.74	0.97	0.37	0.91	0.61	0.76	0.76	0.5	0.53	0.71	0.68	0.65	0.43	0.51	0.67	0.5	0.67	0.37	0.51	1.08	0.84	0.57	0.66	0.72	0.68	0.68	0.79	0.4	0.53	0.72	0.66	0.73	0.7	0.64	0.72	0.8	0.56	0.54	0.47	0.35	1.12	0.6	0.89	0.57	0.63	0.96	0.62	0.78	0.6	0.48	0.99	0.78
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA2999; g__WHSN01	0.44	0.59	0.83	0.66	0.86	1.19	0.97	1.07	0.93	0.9	0.8	0.94	0.65	0.7	0.64	0.59	0.7	0.72	0.64	0.66	0.69	0.58	0.89	0.38	0.41	0.91	0.75	0.54	0.53	0.62	0.64	0.7	0.62	0.69	0.36	0.45	0.62	0.64	0.63	0.6	0.55	0.61	0.6	0.49	0.32	0.5	0.75	0.59	0.74	0.97	0.94	0.91	0.66	0.81	0.68	0.62	0.79	0.68
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA11600			0.01																		0.01						0.01				0.01	0.01	0.01								0.01		0.01						0.01		0.01			0.01				
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA2161	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.01		0.01	0.01	0.02		0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.02	0.01	0.02	0.01			0.01	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA823; g__UBA823																																																								0.0		
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__JAAXGX01		0.01	0.01	0.01	0.01	0.01	0.02	0.02	0.01	0.02	0.02	0.01		0.01	0.01	0.02	0.01	0.01	0.02	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.02	0.02	0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01		0.01	0.01	0.01	0.01		0.01	0.02	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01		0.02
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__JAGWAJ01												0.01										0.01								0.01								0.01			0.01																	0.0
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__JAJEEA01			0.01		0.0		0.0				0.01				0.01					0.01	0.01	0.01	0.01			0.01										0.01																		0.01				
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__NP936		0.01		0.01	0.0	0.01	0.01			0.01					0.01			0.01								0.01				0.01	0.01						0.01		0.01		0.01						0.01			0.01							0.01	0.01
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__UBA8438																																									0.0																	
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__UBA8438; g__WTFV01		0.01		0.01		0.01				0.01			0.01		0.01	0.01	0.01	0.02		0.01	0.01	0.02	0.02		0.01	0.01		0.01		0.0	0.01	0.01	0.01			0.01	0.01	0.01	0.02	0.01	0.0	0.01	0.03	0.01				0.01			0.01		0.01	0.01		0.01		0.01
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__JAEZDP01	0.01	0.01			0.01		0.01	0.01		0.01	0.01															0.01		0.01		0.01	0.01	0.01					0.01				0.01	0.01					0.01	0.01				0.01			0.01	0.01		0.0
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__Luteitalea	0.38	0.1	0.14	0.18	0.12	0.11	0.26	0.31	0.13	0.39	0.32	0.26	0.13	0.16	0.09	0.12	0.11	0.04	0.12	0.09	0.1	0.06	0.12	0.09	0.1	0.29	0.3	0.07	0.36	0.16	0.1	0.16	0.2	0.13	0.04	0.1	0.16	0.1	0.11	0.08	0.1	0.09	0.12	0.08	0.44	0.07	0.24	0.15	0.29	0.19	0.19	0.36	0.29	0.27	0.14	0.28	0.19	0.35
Root; d__Bacteria; p__Acidobacteriota; c__Vicinamibacteria; o__Vicinamibacterales; f__Vicinamibacteraceae; g__WHTT01	0.01	0.01	0.01	0.01	0.01	0.01		0.01		0.01	0.01	0.01	0.01		0.01	0.01	0.01	0.01			0.01	0.02	0.01	0.01	0.01	0.01	0.02	0.01	0.01	0.01	0.01	0.01	0.01	0.01		0.01	0.01	0.02	0.01		0.01	0.01	0.01	0.01			0.02	0.01	0.01		0.01	0.01				0.01	0.01	0.01
Root; d__Bacteria; p__Actinomycetota; c__Acidimicrobiia; o__Acidimicrobiales; f__AC-14; g__AC-14	0.01	0.02		0.02	0.01		0.0	0.01			0.03		0.01	0.01						0.01	0.01			0.01	0.01		0.01		0.01	0.02		0.01		0.01		0.01	0.01			0.02	0.01		0.01	0.04	0.01	0.04	0.03	0.01	0.01	0.01	0.01	0.02			0.01		0.01	0.01
